unique_id_match,toponymName,fclName,commune,province,region,country,MATCH,types_Anne,types_Ettore
17510-1201421-champy,,,,,,,champy,per,per
17994-1215903-hygiea,,,,,,,hygiea,ambig,ambig
18011-1216504-deinze,Deinze,Commune,Deinze,East Flanders Province,Flanders,Belgium,deinze,per_loc,loc
18104-1220034-dominique navez,,,,,,,dominique navez,per,per
18417-1228308-karel,,,,,,,karel,per,per
18417-1228308-wijnendaele,,,,,,,wijnendaele,loc,loc
18586-1233494-theatre delaux,,POI,,,,Belgium,theatre delaux,loc,loc
18666-1235525-ahlenius,,,,,,,ahlenius,per,per
18863-1241412-aalter,Aalter,Commune,Aalter,East Flanders Province,Flanders,Belgium,aalter,loc,loc
18863-1241412-loveld,,,,,,,loveld,per,per_ambig
,,,,,,,,per,
18985-1244239-van thillo,,,,,,,van thillo,per,per
19009-1245175-aalter,Aalter,Commune,Aalter,East Flanders Province,Flanders,Belgium,aalter,loc,loc
19055-1246664-soltau,,,,,,Germany,soltau,loc,loc
19063-1247019-lurkin,,,,,,,lurkin,per,per
19121-1248675-ostlund,,,,,,,ostlund,per,per
19232-1251836-gentbrugge,Gentbrugge,Section,Gent,East Flanders Province,Flanders,Belgium,gentbrugge,loc,loc
19613-1261188-evola,,,,,,,evola,per,per
19656-1263094-hubert collin,,,,,,,hubert collin,per,per
19717-1263979-licot,,,,,,,licot,ambig,ambig
19857-1267359-luyten,,,,,,,luyten,per,per
19919-1270521-boma,,,,,,Democratic Republic of the Congo,boma,loc,loc
20316-1284536-la scala,,,,,,Italy,la scala,loc,loc
20641-1294080-assenede,Assenede,Commune,Assenede,East Flanders Province,Flanders,Belgium,assenede,loc,loc
20732-1297716-moorslede,Moorslede,Commune,Moorslede,West Flanders Province,Flanders,Belgium,moorslede,loc,loc
20737-1297964-lodewijk van biesbroeck,,,,,,,lodewijk van biesbroeck,per,per
20896-1310416-auguste marie léon bogaert,,,,,,,auguste marie léon bogaert,per,per
20901-1310493-hultberg,,,,,,,hultberg,per,per
21013-1313909-van den eynden,,,,,,,van den eynden,per,per
21146-1317304-karlstrom,,,,,,,karlstrom,per,per
21146-1317304-congo,,,,,,,congo,loc,loc
21203-1318517-leuvenvolksplein,,POI,Leuven,Vlaams Brabant,Flanders,Belgium,leuvenvolksplein,loc,loc
21468-1328125-fleurus,Fleurus,Commune,Fleurus,Hainaut Province,Wallonia,Belgium,fleurus,loc,loc
21479-1328327-rhodes,,,,,,Greece,rhodes,loc,loc
21479-1328327-chamberlain,,,,,,,chamberlain,per,per
21503-1328992-saint-pol-roux,,,,,,,saint-pol-roux,per,per
21939-1345799-margate,,,,,,United Kingdom,margate,loc,loc
21969-1347759-rumst,Rumst,Commune,Rumst,Antwerpen,Flanders,Belgium,rumst,loc,loc
21969-1347759-dijle,,,,,,,dijle,loc,loc
21987-1349056-wallius,,,,,,,wallius,per,per
22102-1354624-berthem,Bertem,Commune,Bertem,Flemish Brabant Province,Flanders,Belgium,berthem,loc,loc
22154-1356685-bourquin,,,,,,,bourquin,per,per
22179-1357490-de smet,,,,,,,de smet,per,per
22179-1357490-serskamp,,,,,,,serskamp,loc,loc
22278-1360963-auguste joly,,,,,,,auguste joly,per,per
22461-1370542-gheeraerdts,,,,,,,gheeraerdts,per,per
22839-1384342-tombek,,,,,,?,tombek,loc,per_ambig
22884-1385992-cureghem,Cureghem,Section,Anderlecht,Hainaut Province,Wallonia,Belgium,cureghem,loc,loc
22895-1386008-godefroy louise,,,,,,,godefroy louise,per,per
23299-1395903-steyaert,,,,,,,steyaert,per,per
23299-1395903-ichteghem,,,,,,,ichteghem,loc,loc
23493-1398590-fernand servais,,,,,,,fernand servais,per,per
23681-1404656-lippens,,,,,,,lippens,per,per
23681-1404656-bruyne,,,,,,,bruyne,per,per
23686-1405004-dutalis,,,,,,,dutalis,per,per
23886-1411216-gylden,,,,,,,gylden,per,per_ambig
23907-1411935-gylden,,,,,,,gylden,per,per_ambig
23910-1411935-wavre,Wavre,Commune,Wavre,Walloon Brabant Province,Wallonia,Belgium,wavre,loc,loc
24096-1416806-anvers,,,,,,France,anvers,loc,loc
24209-1419902-ceysens jules,,,,,,,ceysens jules,per,per
24229-1420305-derville,,,,,,,derville,per,per
24229-1420305-couillet,,,,,,,couillet,loc,loc
