Column 1,viaf,wikidata,Column 2
Alexandre Markelbach,Alexandre Markelbach,Alexandre Markelbach,2
Alexandre Naveau,,,1
Alexandre Pays,,,1
Alexandre Pierard,,,1
Alexandre Ponchon,Alexandre Ponchon,,2
Alexandre Promio,Alexandre Promio,Alexandre Promio,1
Alexandre Radelet,,,1
Alexandre Sadier,Alexandre Sadier,,1
Alexandre Scaff,,,4
Alexandre Titeca,,,2
Alexandre Van Antro,,Alexandre Van Antro,5
Alexandre Wauthier,,,1
Alexandre Wigand,,Alexandre Wigand,1
Alexandre Wodon,,,1
Alexandrine Dumas,Alexandrine Dumas,,1
Alexandrine Marie Dumas,Alexandrine Marie Dumas,,3
Alex Booker,Alex Booker,,1
Alex Canhter,,,1
Alex Canther,,,1
Alex Coppel,,,1
Alexis Kops,,,2
Alexis Partoes,,,2
Alexis Pelseneer,,,1
Alexis Vandenhoeck,,,1
Alexis Van Den Hoeck,,,1
Alexis Vandenhove,,,4
Alexis Van Mechelen,,,1
Alexis Werner,,,1
Alex Ponchon,,,1
Alex Vermassen,,,1
Alex Winspeare,,,1
Alex Wodon,,,1
Alfa Romeo Terwangne,,,1
Alfons Beurden,,,2
Alfons Beurden Jans Bloemen,,,2
Alfons Eyckmans,,,1
Alfons Guns,,,1
Alfons Langbeen,,,4
Alfons Plettinckx,,,1
Alfons Seys,,,2
Alfons Steurs,,,7
Alfons Trog,,,1
Alfons Van Beurden,,Alfons Van Beurden,2
Alfons Verdoodt,Alfons Verdoodt,,1
Alfred Bastin,Alfred Bastin,,5
Alfred Boniver,,,1
Alfred Carlier,Alfred Carlier,,1
Alfred Carpentier,Alfred Carpentier,Alfred Carpentier,1
Alfred Chretien,,,1
Alfred Colleye,,,1
Alfred Colpaert,Alfred Colpaert,Alfred Colpaert,2
Alfred De Knyff,Alfred De Knyff,Alfred De Knyff,1
Alfred Delaet,Alfred Delaet,,4
Alfred De Laet,Alfred De Laet,,2
Alfred Dendal,,,1
Alfred Desire Francois,,,1
