QID,link,label,countCountries,countPersons
Q10511205,https://www.wikidata.org/wiki/Q10511205,Gusten,1,2
Q10512682,https://www.wikidata.org/wiki/Q10512682,Görel,1,1
Q10514602,https://www.wikidata.org/wiki/Q10514602,Terry,27,787
Q10515495,https://www.wikidata.org/wiki/Q10515495,Hadar,2,2
Q10516970,https://www.wikidata.org/wiki/Q10516970,Hampus,1,11
Q10517284,https://www.wikidata.org/wiki/Q10517284,Hanny,7,8
Q1051881,https://www.wikidata.org/wiki/Q1051881,Ilona,17,177
Q10525305,https://www.wikidata.org/wiki/Q10525305,Hólmfríður,1,1
Q1052630,https://www.wikidata.org/wiki/Q1052630,Kees,7,8
Q1053128,https://www.wikidata.org/wiki/Q1053128,Abelardo,13,46
Q1053272,https://www.wikidata.org/wiki/Q1053272,Cemal,7,32
Q1053325,https://www.wikidata.org/wiki/Q1053325,Cemil,4,25
Q1053343,https://www.wikidata.org/wiki/Q1053343,Cemile,2,2
Q10535441,https://www.wikidata.org/wiki/Q10535441,Ingalill,2,4
Q10535464,https://www.wikidata.org/wiki/Q10535464,Ingela,1,8
Q10535484,https://www.wikidata.org/wiki/Q10535484,Ingimundur,1,1
Q10536776,https://www.wikidata.org/wiki/Q10536776,Irmelin,2,2
Q10537988,https://www.wikidata.org/wiki/Q10537988,Isra,2,2
Q10539578,https://www.wikidata.org/wiki/Q10539578,Jannika,1,1
Q10539986,https://www.wikidata.org/wiki/Q10539986,Jerker,1,3
Q10540926,https://www.wikidata.org/wiki/Q10540926,Josefin,3,15
Q10541315,https://www.wikidata.org/wiki/Q10541315,Juma,11,22
Q10543969,https://www.wikidata.org/wiki/Q10543969,Karna,1,1
Q10544591,https://www.wikidata.org/wiki/Q10544591,Kazimiera,4,11
Q10544658,https://www.wikidata.org/wiki/Q10544658,Keizo,1,60
Q10545745,https://www.wikidata.org/wiki/Q10545745,Kiran,6,25
Q10546861,https://www.wikidata.org/wiki/Q10546861,Fabian,35,215
Q10547667,https://www.wikidata.org/wiki/Q10547667,Konstantine,1,4
Q10551570,https://www.wikidata.org/wiki/Q10551570,Kyrre,2,2
Q1056162,https://www.wikidata.org/wiki/Q1056162,Huberta,1,2
Q10561637,https://www.wikidata.org/wiki/Q10561637,Lili,28,63
Q10561840,https://www.wikidata.org/wiki/Q10561840,Lillemor,1,3
Q10563205,https://www.wikidata.org/wiki/Q10563205,Lisen,1,1
Q10563206,https://www.wikidata.org/wiki/Q10563206,Lisette,10,18
Q10568518,https://www.wikidata.org/wiki/Q10568518,Loa,2,2
Q1056895,https://www.wikidata.org/wiki/Q1056895,Agar,2,2
Q10570000,https://www.wikidata.org/wiki/Q10570000,Lovisa,1,1
Q10575470,https://www.wikidata.org/wiki/Q10575470,Maj-Britt,1,5
Q10575920,https://www.wikidata.org/wiki/Q10575920,Malinda,3,3
Q10576194,https://www.wikidata.org/wiki/Q10576194,Malou,4,10
Q10576367,https://www.wikidata.org/wiki/Q10576367,Mandus,1,1
