,persons_names,isName
296,Marcel Waeterloos,Possible nom
297,Raman Waeterloos,Possible nom
298,Antoine H,Possible nom
299,Antoine Leemans,Possible nom
300,Alfons Op,Improbable
301,Constant Wolfs,Possible nom
302,Joseph Op,Improbable
303,Theophiel De Groof,Possible nom
304,Henri Godin,Possible nom
305,Leon Allaert,Possible nom
306,Marie Louise D,Possible nom
307,Jean Pierre Meyers,Possible nom
308,Lloyd Anversois,Improbable
309,Adolphe Huybrechts,Possible nom
310,Adolphe Huybrechts Gulden Bie,Possible nom
311,Charles Fremine,Possible nom
312,Germain Nouveau,Possible nom
313,Desire Jooken,Possible nom
314,Marcel Hess,Possible nom
315,Pasquier Oulda,Possible nom
316,Battisti Amleto,Possible nom
317,Leontine Lossignol,Possible nom
318,Moise Peltier,Possible nom
319,Norbert Peltier,Possible nom
320,Norma Lossignol,Possible nom
321,Guillaume De Laet,Possible nom
322,John Van Den Bosch,Possible nom
323,Jules Heydt,Possible nom
324,Jan Collignon,Possible nom
325,Francois Van Gendt,Possible nom
326,Charles Mertens,Possible nom
327,Eugene Herman Neut,Possible nom
328,Eugene Neut,Possible nom
329,Baudouin Roi,Possible nom
330,Louis Courtois,Possible nom
331,Valence Aragon,Possible nom
332,Clement Moury,Possible nom
333,Gustave Wese,Possible nom
334,Gustave Weze,Possible nom
335,Omer Weze,Possible nom
336,Theo Wese,Possible nom
337,Theo Weze,Possible nom
338,Alphonse De Rocker,Possible nom
339,Benoit De Vlieger,Possible nom
340,Carolus Langbeen,Possible nom
341,Desire Depaepe,Possible nom
342,Francois August,Possible nom
343,Gustaaf Depaepe,Possible nom
344,Hortence Poppe,Possible nom
345,Ludovicus Langbeen,Possible nom
346,Lydia Irma,Possible nom
347,Maria Poppe,Possible nom
348,Maria Verschelden,Possible nom
349,Marie De Boever,Possible nom
350,Marie Verschelden,Possible nom
351,Xavier Thonon,Possible nom
352,Thiel Wittevrongel,Possible nom
353,Xaverius Langbeen,Possible nom
354,Xavier Langbeen,Possible nom
355,Godefroid De Vreese,Possible nom
356,Louis Bertrand,Possible nom
357,Louis Bertrand Warocque,Possible nom
358,Raoul Warocque,Possible nom
359,Havard De La Montagne,Possible nom
360,Mathieu Corman,Possible nom
361,Hagen Frere,Possible nom
362,Georges Vermeire,Possible nom
363,Gulden Bie,Possible nom
364,Guillaume Seron,Possible nom
365,Victor Pollet,Possible nom
