ID,nom_officiel,noms,Column 1 5,Column 1 6,Column 1 7,Column 1 8,Column 1 9,Column 1 10,Column 1 11,Column 1 12,Column 1 13,Column 1 14,Column 1 15,Column 1 16,Column 1 17,Column 1 18,Column 1 19
2797511,Gives,Gives,50.07003,5.63882,P,PPL,BE,,WAL,WLX,82,82005,0,,367,Europe/Brussels,2017-03-25
2797512,Gitsberg,Gitsberg,50.98857,3.10694,P,PPL,BE,,VLG,VWV,36,36006,0,,45,Europe/Brussels,2016-08-02
2797513,Gits,Gits,50.99687,3.09564,P,PPL,BE,,VLG,VWV,36,36006,0,,24,Europe/Brussels,2012-01-18
2797515,Gistoux,Gistoux,50.68493,4.69494,P,PPL,BE,,WAL,WBR,25,25018,0,,86,Europe/Brussels,2017-03-25
2797516,Gistelvaart,"Ghistelles Vaart,Gistelvaart",51.15,2.96667,H,CNL,BE,,VLG,VWV,,,0,,4,Europe/Brussels,2014-10-01
2797517,Gistel,"Histel,Ghistelles,Гистел,Gistel",51.15612,2.96387,P,PPL,BE,,VLG,VWV,35,35005,11084,,7,Europe/Brussels,2012-01-18
2797518,Gistel,"ژیستل,zhystl,希斯特尔,xi si te er,Ghistelles,Гистел,Gistel",51.14947,2.94936,A,ADM4,BE,,VLG,VWV,35,35005,11761,,3,Europe/Brussels,2012-01-18
2797519,Gippenhag,Gippenhag,50.7,6.01667,S,FRM,BE,,WAL,WLG,63,63040,0,,254,Europe/Brussels,2017-03-25
2797520,Ginste,Ginste,50.94567,3.35349,P,PPL,BE,,VLG,VWV,37,37010,0,,17,Europe/Brussels,2016-08-02
2797521,Ginintreau,"Ginintrau,Ginintreau",50.73333,3.78333,P,PPL,BE,,WAL,WHT,55,55023,0,,53,Europe/Brussels,2017-03-25
2797522,Ginhoven,Ginhoven,51.40861,4.87573,P,PPL,BE,,VLG,VAN,13,13002,0,,21,Europe/Brussels,2016-08-02
2797523,Gingelom,Gingelom,50.74792,5.13422,P,PPL,BE,,VLG,VLI,71,71017,7930,,83,Europe/Brussels,2011-03-02
2797524,Gingelom,"Gingelom,khing khex lom,欣厄洛姆,ژنژولوم,Гингелом,คิงเคอโลม,xin e luo mu,zhnzhwlwm,Djinglehin",50.73481,5.16979,A,ADM4,BE,,VLG,VLI,71,71017,8185,,104,Europe/Brussels,2013-03-05
2797525,Gindron,Gindron,50.26667,5.06667,P,PPL,BE,,WAL,WNA,91,91030,0,,304,Europe/Brussels,2017-03-25
2797526,Ginderover,Ginderover,50.92722,5.39715,P,PPL,BE,,VLG,VLI,71,71011,0,,34,Europe/Brussels,2016-08-02
2797527,Ginderbuiten,"Ginderbinten,Ginderbuyten,Ginderbuiten",51.2,5.13542,P,PPL,BE,,VLG,VAN,13,13025,0,,27,Europe/Brussels,2016-08-02
2797528,Gimnee,"Doische (Gimnee),Gimnee,Doische (Gimnée),Gimnée",50.13131,4.71193,P,PPL,BE,,WAL,WNA,93,93018,0,,195,Europe/Brussels,2011-07-21
2797530,Bois de Gimbes,Bois de Gimbes,50.06845,5.33733,V,FRST,BE,,WAL,WLX,,,0,,416,Europe/Brussels,2011-02-07
2797531,Gilseinde,Gilseinde,51.37269,5.01062,P,PPL,BE,,VLG,VAN,13,13035,0,,32,Europe/Brussels,2016-08-02
2797532,Gilly,"Djili,Charleroi (Gilly),Djilî,Gilly",50.42449,4.4789,P,PPL,BE,,WAL,WHT,52,52011,0,,152,Europe/Brussels,2011-07-21
2797534,Gille Savoie,Gille Savoie,50.51774,3.44782,P,PPL,BE,,WAL,WHT,57,57093,0,,15,Europe/Brussels,2017-03-25
2797535,Gillenbusch,Gillenbusch,50.18333,6.08333,V,FRST,BE,,WAL,WLG,,,0,,518,Europe/Brussels,2010-03-06
2797536,Lac de la Gileppe,Lac de la Gileppe,50.58529,5.98886,H,RSV,BE,,WAL,WLG,,,0,,301,Europe/Brussels,2012-01-18
2797537,Gileppe,"Gilbach,La Gileppe,Gileppe",50.6,5.96667,H,STM,BE,,WAL,WLG,,,0,,272,Europe/Brussels,2012-01-18
2797538,Gijzenzele,"Gijzenzele,Gysenzeele",50.971,3.81698,P,PPL,BE,,VLG,VOV,44,44052,0,,33,Europe/Brussels,2012-01-18
2797540,Gijzelbrechtegem,"Gyselbrechteghem,Gijzelbrechtegem",50.8268,3.50139,P,PPL,BE,,VLG,VWV,34,34002,0,,31,Europe/Brussels,2012-01-18
2797542,Gijzegem,"Gijzegem,Gysegem",50.98602,4.04938,P,PPL,BE,,VLG,VOV,41,41002,0,,6,Europe/Brussels,2012-01-18
2797544,Gijverinkhove,"Gijverinkhove,Gyverinchove",50.97609,2.67252,P,PPL,BE,,VLG,VWV,38,38002,0,,13,Europe/Brussels,2012-01-18
2797546,Gijssegem,"Gijssegem,Chateau de Gysegem,Château de Gysegem",50.98333,4.03333,S,HSEC,BE,,VLG,VOV,41,41002,0,,6,Europe/Brussels,2016-08-02
2797547,Gijmelberg,Gijmelberg,51.00359,4.84356,P,PPL,BE,,VLG,VBR,24,24001,0,,16,Europe/Brussels,2016-08-02
2797548,Gijmel,Gijmel,51.00884,4.86008,P,PPL,BE,,VLG,VBR,24,24001,0,,17,Europe/Brussels,2016-08-02
2797549,Gifromont,Gifromont,50.08333,5.03333,P,PPL,BE,,WAL,WNA,91,91013,0,,247,Europe/Brussels,2017-03-25
2797550,Giesberg,Giesberg,50.44474,6.22972,T,HLL,BE,,WAL,WLG,63,63013,0,,607,Europe/Brussels,2017-03-25
2797551,Gierle Bos,Gierle Bos,51.28405,4.88198,V,FRST,BE,,VLG,VAN,,,0,,22,Europe/Brussels,2011-02-07
2797552,Gierle,"Lille (Gierle),Gierle",51.26852,4.86733,P,PPL,BE,,VLG,VAN,13,13019,0,,20,Europe/Brussels,2011-02-08
2797554,Gielisheide,Gielisheide,51.10026,5.48583,P,PPL,BE,,VLG,VLI,72,72040,0,,68,Europe/Brussels,2016-08-02
2797555,Gibraltar,Gibraltar,50.67359,3.25243,P,PPL,BE,,WAL,WHT,57,57027,0,,24,Europe/Brussels,2017-03-25
2797556,Gibecq,Gibecq,50.63792,3.88779,P,PPL,BE,,WAL,WHT,51,51004,0,,51,Europe/Brussels,2017-03-25
2797558,Ghyssegnies,"Ghissegnies,Ghyssegnies",50.57775,3.55782,P,PPL,BE,,WAL,WHT,57,57094,0,,65,Europe/Brussels,2017-03-25
2797559,Ghoy,Ghoy,50.72834,3.80983,P,PPL,BE,,WAL,WHT,55,55023,0,,33,Europe/Brussels,2012-01-18
2797561,Ferme de Ghorain,Ferme de Ghorain,50.68333,4.2,S,FRM,BE,,WAL,WBR,25,25105,0,,48,Europe/Brussels,2017-03-25
2797562,Bois de Ghlin,Bois de Ghlin,50.49772,3.89683,V,FRST,BE,,WAL,WHT,,,0,,64,Europe/Brussels,2011-02-07
2797563,Ghlin,Ghlin,50.47313,3.90289,P,PPL,BE,,WAL,WHT,53,53053,0,,32,Europe/Brussels,2017-03-25
2797565,Ghislenghien,"Gellingen,Ghislenghien",50.65653,3.87826,P,PPL,BE,BE,WAL,WHT,51,51004,0,,41,Europe/Brussels,2017-03-25
2797567,Ghislage,Ghislage,50.47548,4.05284,P,PPL,BE,,WAL,WHT,53,53053,0,,46,Europe/Brussels,2017-03-25
2797568,Ghellerie,"Chellerie,Ghellerie",50.55561,4.22066,P,PPL,BE,,WAL,WHT,55,55050,0,,124,Europe/Brussels,2017-03-25
2797569,Gezule,Gezule,50.7,3.95,P,PPL,BE,,WAL,WHT,,,0,,38,Europe/Brussels,2010-03-06
2797570,Gewaai,"Gewage,Gewaye,Gewaai,Gewaij",50.93241,5.58953,P,PPL,BE,,VLG,VLI,71,71067,0,,92,Europe/Brussels,2016-08-02
2797571,Gevimont,"Gevimont,Gévimont",49.57941,5.61435,P,PPL,BE,,WAL,WLX,85,85045,0,,266,Europe/Brussels,2017-03-25
2797572,Gevaarts,"Gevaarts,Gevaerts",51.13924,3.30195,P,PPL,BE,,VLG,VWV,31,31003,0,,5,Europe/Brussels,2016-08-02
2797573,Geuzenhoek,Geuzenhoek,50.97739,3.49049,P,PPL,BE,,VLG,VOV,44,44081,0,,7,Europe/Brussels,2016-08-02
2797574,Geuzenhoek,Geuzenhoek,50.76667,3.3,P,PPL,BE,,VLG,VWV,34,34022,0,,49,Europe/Brussels,2016-08-02
2797575,Geuzenbos,"Geuzenbos,Geuzenbosch",51.08333,3.06667,P,PPL,BE,,VLG,VWV,31,31033,0,,40,Europe/Brussels,2016-08-02
2797576,Geussesmis,Geussesmis,50.87948,3.15029,P,PPL,BE,,VLG,VWV,36,36010,0,,22,Europe/Brussels,2016-08-02
2797577,Geurnenhoek,"Geurnenhoek,Geuzenhoek",51.15206,3.77523,P,PPL,BE,,VLG,VOV,44,44021,0,,7,Europe/Brussels,2016-08-02
2797578,Getzbach,Getzbach,50.6,6.1,H,STM,BE,,WAL,WLG,,,0,,450,Europe/Brussels,2010-03-06
2797579,Gete,"La Gette Riviere,De Gete,Gete,Gette,La Gette Rivière",50.95,5.11667,H,STM,BE,,VLG,,,,0,,22,Europe/Brussels,2012-01-18
2797580,Bois de Gesves,Bois de Gesves,50.41459,5.04092,V,FRST,BE,,WAL,WNA,,,0,,267,Europe/Brussels,2010-03-06
2797581,Gesves,"Djeve,Gesves,ژسو,热弗,Zhev,re fu,zhsw,Жев",50.40146,5.07457,P,PPL,BE,,WAL,WNA,92,92054,6150,,246,Europe/Brussels,2011-04-05
2797582,Gesves,Gesves,50.40162,5.07345,A,ADM4,BE,,WAL,WNA,92,92054,6798,,246,Europe/Brussels,2017-04-13
2797583,Gestru,Gestru,50.55,5.23333,P,PPL,BE,,WAL,WLG,61,61072,0,,93,Europe/Brussels,2017-03-25
2797584,Gestelhoeve,"Gestelhoeve,Gestelhof",51.13068,4.66311,S,FRM,BE,,VLG,VAN,12,12002,0,,9,Europe/Brussels,2016-08-02
2797585,Gestel-Geneikenbeek,"Gestel Geneykenbeek,Gestel-Geneikenbeek",51,5.18333,H,STM,BE,,VLG,VLI,,,0,,28,Europe/Brussels,2012-01-18
2797586,Gestelbeek,"Gestelbeek,Meenbeek",51.1257,4.64743,H,STM,BE,,VLG,VAN,,,0,,1,Europe/Brussels,2012-01-18
2797587,Gestel,Gestel,51.43686,4.71995,P,PPL,BE,,VLG,VAN,13,13014,0,,11,Europe/Brussels,2016-08-02
2797588,Gestel,"Berlaar (Gestel),Gestel",51.12868,4.67297,P,PPL,BE,,VLG,VAN,12,12002,0,,5,Europe/Brussels,2011-02-10
2797589,Gestel,Gestel,51.11234,5.0993,P,PPL,BE,,VLG,VAN,13,13021,0,,25,Europe/Brussels,2016-08-02
2797590,Gestel,Gestel,51.03157,5.21361,P,PPL,BE,,VLG,VLI,71,71037,0,,28,Europe/Brussels,2016-08-02
2797592,Gesellenland,Gesellenland,50.21043,6.00667,L,LCTY,BE,,WAL,WLX,,,0,,534,Europe/Brussels,2011-02-07
2797593,Ferme Gery Hulet,"Ferme Gery Hulet,Ferme Géry Hulet",50.7,4.46667,S,FRM,BE,,WAL,WBR,25,25119,0,,111,Europe/Brussels,2017-03-25
2797594,Gervoort,Gervoort,51.12917,5.13881,P,PPL,BE,,VLG,VAN,13,13003,0,,29,Europe/Brussels,2016-08-02
2797595,Gerstebeek,Gerstebeek,50.93333,4.23333,H,STM,BE,,VLG,,,,0,,48,Europe/Brussels,2009-07-24
