visitID,Column,unique_id,query_normalised,query_tokens
2679008,65783,65783-2679008,jesus-evok,1
2679008,65786,65786-2679008,naarisque,1
2679008,65785,65785-2679008,naar isque,2
2679008,65787,65787-2679008,onderisque,1
2679008,65788,65788-2679008,onderoveryssche,1
2679008,65791,65791-2679008,overyssce,1
2679008,65793,65793-2679008,te groenendael,2
2679008,65796,65796-2679008,teisque,1
2679008,65798,65798-2679008,tothoeylaert,1
2679008,65800,65800-2679008,vrcuw-ten-bosch,1
2679008,65801,65801-2679008,vrouw-tcbosch,1
2679008,65802,65802-2679008,vrouw-tcn-bosch,1
2679008,65804,65804-2679008,yrouw-ten-bosch,1
2679008,65780,65780-2679008,hoeylaerten,1
2679008,65781,65781-2679008,iesus-eyck,1
2679008,65784,65784-2679008,jesus-eyok,1
2679008,65789,65789-2679008,ovcrryssche,1
2679008,65790,65790-2679008,ovcryssche,1
2679008,65792,65792-2679008,overysscne,1
2679008,65795,65795-2679008,tehoeylaert,1
2679008,65794,65794-2679008,te isque,2
2679008,65797,65797-2679008,teoveryssche,1
2679008,65799,65799-2679008,vanhoeylaert,1
2679008,65803,65803-2679008,vrouw-ten-bosoh,1
2679058,65805,65805-2679058,schandaal,1
2679086,65806,65806-2679086,quartier jardin,2
2679086,65807,65807-2679086,tuinwijk,1
2679098,65808,65808-2679098,"scandale, affaire",2
2679098,65810,65810-2679098,"toezichthouder, regelgever, regulateur",3
2679098,65811,65811-2679098,"toezichthouder, regelgever, regulateur, regelaar",4
2679098,65809,65809-2679098,schandaal,1
2679411,65812,65812-2679411,sinnich,1
2679411,65813,65813-2679411,teuven,1
2679438,65814,65814-2679438,révolution russe,2
2679460,65815,65815-2679460,cador,1
2679520,65817,65817-2679520,cuypers overheyden,2
2679520,65818,65818-2679520,louisa overheyden,2
2679520,65820,65820-2679520,marie overheyden,2
2679520,65821,65821-2679520,overheyden molenbeek,2
2679520,65816,65816-2679520,cuypers molenbeek,2
2679520,65819,65819-2679520,louise overheyden,2
2679585,65822,65822-2679585,garde civique de saint-gilles,4
2679807,65823,65823-2679807,16 april 1886,3
2679807,65825,65825-2679807,broeders april,2
2679807,65826,65826-2679807,ellende in itali,3
2679807,65827,65827-2679807,mannen broeders,2
2679807,65829,65829-2679807,rienzi ellende,2
2679807,65824,65824-2679807,april 1886,2
2679807,65828,65828-2679807,rienzi,1
2679913,65830,65830-2679913,cuypers,1
2680027,65833,65833-2680027,autorité des marchés financiers,4
2680027,65831,65831-2680027,autorité de surveillance,3
2680027,65832,65832-2680027,"autorité de surveillance autorité des marchés financiersrégulateur, législateur, réforme",9
2680027,65834,65834-2680027,"comptablescandale, affaire",2
2680027,65835,65835-2680027,"régulateur, législateur, réforme",3
2680027,65840,65840-2680027,"régulateur, législateur, réformeautorité des marchés financiers",6
2680027,65837,65837-2680027,"régulateur, législateur, réformeautorité de surveillance",5
2680027,65838,65838-2680027,"régulateur, législateur, réformeautorité de surveillance autorité des marchés financiers",9
2680027,65836,65836-2680027,"régulateur, législateur, réforme, autorité de surveillance, autorité des marchés financiers",10
2680027,65841,65841-2680027,scandale comptable affaire comptable,4
2680027,65839,65839-2680027,"régulateur, législateur, réformeautorité de surveillance, autorité des marchés financiers",9
2680027,65842,65842-2680027,"scandale, affaire",2
2680038,65843,65843-2680038,viande cheval,2
2680134,65844,65844-2680134,eurovisie,1
2680134,65845,65845-2680134,geraardsbergen,1
2680134,65846,65846-2680134,monsieur,1
2680202,65847,65847-2680202,barcelona,1
2680205,65848,65848-2680205,coussement,1
2680415,65849,65849-2680415,viande cheval,2
2680546,65851,65851-2680546,grève gand,2
2680546,65850,65850-2680546,gand coton,2
2680615,65852,65852-2680615,guignard,1
2680615,65853,65853-2680615,robl,1
2680711,65854,65854-2680711,liezele,1
2680880,65855,65855-2680880,viande cheval,2
2681050,65856,65856-2681050,artis antwerpen,2
2681050,65857,65857-2681050,dierenpark antwerpen,2
2681050,65859,65859-2681050,miel de lee,3
2681050,65860,65860-2681050,miel de lee visser lillo,5
2681050,65861,65861-2681050,miel de lee visser of lillo,6
2681050,65862,65862-2681050,piebes,1
2681050,65863,65863-2681050,van baalen,2
2681050,65858,65858-2681050,dierentuin antwerpen,2
2681050,65864,65864-2681050,zoo antwerpen,2
2681095,65865,65865-2681095,marollen,1
2681139,65867,65867-2681139,sarrasanni,1
2681139,65866,65866-2681139,sarrasani,1
2681331,65868,65868-2681331,garde civique de saint-gilles,4
2681443,65869,65869-2681443,tredez,1
2681477,65870,65870-2681477,dothée,1
2681477,65871,65871-2681477,van holsbeke,2
2681477,65872,65872-2681477,van nooten,2
2681690,65874,65874-2681690,bogaert appels,2
2681690,65875,65875-2681690,bogaert en marollen,3
2681690,65876,65876-2681690,bogaert impens,2
2681690,65877,65877-2681690,bogaert kamiel,2
2681690,65878,65878-2681690,bogaert leopold,2
2681690,65879,65879-2681690,bogaert marollen,2
2681690,65880,65880-2681690,bogaert petrus johannes,3
2681690,65881,65881-2681690,bogaert theophiel,2
2681690,65882,65882-2681690,bogaert theophil,2
2681690,65883,65883-2681690,bogaert thephiel,2
2681690,65884,65884-2681690,carabiniers beverlo,2
2681690,65885,65885-2681690,carabiniers beverlo 12di,3
2681690,65873,65873-2681690,bogaert,1
2681808,65886,65886-2681808,louis vermaute,2
2681808,65887,65887-2681808,ludovicus vermaute,2
2681808,65888,65888-2681808,vermaute,1
2681924,65890,65890-2681924,impens florentina leonia,3
2681924,65889,65889-2681924,bogaert petrus johannes,3
2682531,65891,65891-2682531,belgique,1
2682634,65892,65892-2682634,ferraris,1
2682666,65893,65893-2682666,auto-garage,1
2682802,65894,65894-2682802,"compotablerégulateur, législateur, réforme",3
2682802,65895,65895-2682802,"comptablerégulateur, législateur, réforme",3
2682802,65896,65896-2682802,"comptablescandale, affaire",2
2682852,65897,65897-2682852,affaire comptable,2
2682852,65898,65898-2682852,affaire financière,2
2682852,65901,65901-2682852,comptablelégislation,1
2682852,65907,65907-2682852,comptableschandale affaire,2
2682852,65909,65909-2682852,détournement des fonds,3
2682852,65908,65908-2682852,dilapidation,1
2682852,65910,65910-2682852,escroquerie comptable,2
2682852,65912,65912-2682852,fraude comptable,2
2682852,65913,65913-2682852,gestion bénéfices,2
2682852,65914,65914-2682852,gestion des bénéfices,3
2682852,65915,65915-2682852,inconduite financière,2
2682852,65916,65916-2682852,malversation comptable,2
2682852,65917,65917-2682852,manipulation comptable,2
2682852,65918,65918-2682852,manipulation des comptes,3
2682852,65919,65919-2682852,practique financière illégale,3
2682852,65920,65920-2682852,régulateur,1
2682852,65925,65925-2682852,régulateurcomptable,1
2682852,65928,65928-2682852,scandale comptable,2
2682852,65929,65929-2682852,scandale d´enterprise,2
2682852,65931,65931-2682852,tripatrouillage comptable,2
2682852,65932,65932-2682852,trucage dans les comptes,4
2682852,65902,65902-2682852,comptablerégulateur législateur réforme,3
2682852,65903,65903-2682852,"comptablerégulateur, lègislateur, réforme",3
2682852,65904,65904-2682852,"comptablerégulateur, législateur, réforme",3
2682852,65905,65905-2682852,"comptablerégulateur, législateur, réforme,",3
2682852,65906,65906-2682852,comptablescandale affaire,2
2682852,65911,65911-2682852,fraude,1
2682852,65921,65921-2682852,régulateur législateur réforme,3
2682852,65922,65922-2682852,"régulateur, législateur, réforme",3
2682852,65923,65923-2682852,"régulateur, législateur, réformeautorité de surveillance",5
2682852,65924,65924-2682852,"régulateur, législateur, réformeautorité de surveillance, autorité des marchés financiers",9
2682852,65926,65926-2682852,scandale,1
2682852,65899,65899-2682852,affaire scandale,2
2682852,65900,65900-2682852,"affaire, scandale",2
2682852,65927,65927-2682852,scandale affaire,2
2682852,65930,65930-2682852,"scandale, affaire",2
2682887,65933,65933-2682887,spaansche griep,2
2682919,65934,65934-2682919,"scandale, affaire,",2
2683037,65938,65938-2683037,opération par tous,3
2683037,65939,65939-2683037,opération par tous les temps,5
2683037,65937,65937-2683037,oprération par tous les temps,5
2683037,65935,65935-2683037,brackelaire,1
2683037,65936,65936-2683037,colbert,1
2683037,65940,65940-2683037,photographe,1
2683037,65941,65941-2683037,photographie,1
2683037,65942,65942-2683037,photographique,1
2683037,65943,65943-2683037,rosset,1
2683037,65944,65944-2683037,rue roc,2
2683127,65945,65945-2683127,liezele,1
2683608,65946,65946-2683608,theo raison,2
2683740,65947,65947-2683740,muziek,1
2683740,65948,65948-2683740,muziek leger,2
2683883,65949,65949-2683883,vers l,2
2683899,65950,65950-2683899,charles ledresseur,2
2683899,65951,65951-2683899,de ram,2
2683899,65952,65952-2683899,emile hayoit de termicourt,4
2683899,65953,65953-2683899,ferdinand lefebvre,2
2683899,65955,65955-2683899,frédéric hairion,2
2683899,65956,65956-2683899,hairion,1
2683899,65957,65957-2683899,hayoit de termicourt,3
2683899,65959,65959-2683899,ledresseur,1
2683899,65963,65963-2683899,pierre de ram,3
2683899,65954,65954-2683899,ferdinand lefèbvre,2
2683899,65958,65958-2683899,laforet,1
2683899,65960,65960-2683899,lefebvre,1
2683899,65961,65961-2683899,lefèbvre,1
