ID,nom_officiel,noms,Column 1 5,Column 1 6,Column 1 7,Column 1 8,Column 1 9,Column 1 10,Column 1 11,Column 1 12,Column 1 13,Column 1 14,Column 1 15,Column 1 16,Column 1 17,Column 1 18,Column 1 19
2788131,Burg-Reuland,"Бург Ройланд,Бург-Ройланд,Burg Rojland,Burg-Rojland,ブルク＝ロイラント,Burg-Reuland,布尔格—罗伊兰德,bwrg-rwlan,buruku=roiranto,بورگ-رولان",50.19571,6.13446,P,PPL,BE,BE,WAL,WLG,63,63087,0,,379,Europe/Brussels,2011-03-23
2788134,Rettigny,Rettigny,50.16744,5.88017,P,PPL,BE,,WAL,WLX,82,82037,0,,394,Europe/Brussels,2017-03-25
2788135,Retinne,"Fleron (Retinne),Fléron (Retinne),Retinne",50.63084,5.69821,P,PPL,BE,,WAL,WLG,62,62038,0,,236,Europe/Brussels,2011-03-21
2788138,Retie,"Rethy,Retie",51.26652,5.08242,P,PPL,BE,,VLG,VAN,13,13036,10069,,24,Europe/Brussels,2012-01-18
2788141,Restert,Restert,50.91667,4.01667,P,PPL,BE,,VLG,VOV,41,41002,0,,21,Europe/Brussels,2016-08-02
2788143,Resteigne,Resteigne,50.08304,5.17692,P,PPL,BE,,WAL,WLX,84,84068,0,,207,Europe/Brussels,2012-01-18
2788145,Restaumont,Restaumont,50.5625,4.14142,P,PPL,BE,,WAL,WHT,55,55050,0,,118,Europe/Brussels,2017-03-25
2788146,Rest,Rest,51.11776,5.38073,P,PPL,BE,,VLG,VLI,72,72038,0,,65,Europe/Brussels,2016-08-02
2788147,Rest,Rest,50.94566,4.91717,P,PPL,BE,,VLG,VBR,24,24135,0,,26,Europe/Brussels,2016-08-02
2788148,Ressegem,Ressegem,50.89115,3.91129,P,PPL,BE,,VLG,VOV,41,41027,0,,57,Europe/Brussels,2012-01-18
2788150,Ressebeek,"Resschebeek,Ressebeek",50.90354,4.07711,P,PPL,BE,,VLG,VOV,41,41002,0,,15,Europe/Brussels,2016-08-02
