Aa
Beaulieu
Beuzet
Boilake Ruis
BEAUMONT
Bevel
Boiland
Beaumont (Stavelot)
Beveren
Bomal
Beveren
Bomal
Beausam
BEVEREN WAES
Bombave
Beauvchain
BEVERLOO
Bommershoven
Beauwelz •
Beverst
Bon Air
Bebange
Bevingen
Bondorf or Bigonville
Becco
Beyghem
Boneffe
Becelaere
Beyne Hensay
Bonheyden
Bech
Beyren
Boninne
Beckerich
Beythem
Bonncrue
Beclers
Bienne-lez-Happart
Bonnerue
Becquevoort
Bierbeek
Bonneville
Bee
Biercee
Bonnevoie
Beer
Bierges
Bonniers Les
Beerendonk
Bierghes
Bonsin
BEERINGEN
Bierset
Boom
Beemem
Biesme
Booq River
Beerse
Biesmerée
Boorshem
Beersel
Biesmes
Boort Meerbeek
Bievène
Boraival
BEERST
Bièvre
Borght-Lombeek
Beez
Biez
Borgoumont
Beffe
Bigard Grand
Borlez
Belve
Bigelbacb
Borion
Beggen
Bigonville or Bondorf
Borloo
Beggynendyck
Biham
Born
Beheme
Bilsdorf
Born
Beho
BILSEN
Borne, La
Beidweiler
Bilstain
Bomhem
Beirlegem
BINCHE
Borsbeek
Beiler
Binches
Borsu
Beirvelde
Binderveld
Borsu, Bois et
Beke
Bindingen
Borzee
Bekeghem
Binkom
Bos
BELCELE
Binsfeld
Bosch
Beles or Belvaux
Bioul
Bosch Beek, River
Belgradc
Biourge
Boscheynde
Bell
Biron
Boschhoek
Bellaire
Bisschophoek
Boschscheedwege
Bellecourt
Bisseghem
Bosschen Laake
Belle Croix
Bissen
Bosset
Bellefontaine (Bouillon)
Biwer
Bossiere
Bellefontaine (Virton)
Biwisch
Bossiere
Belleghem
Bixschoote
Bosson
Bellem
Bizory
Bossuyt
Belle-Maison
Blaesveld
Botassart
Bellcvaux
Blaimont
Boterhoek
Bellevaux
Blanche
Bothy
Bellinghen
Blandain
Bouchaute
Beloeil
Blanden
Bouchout
Belvaux
Blankelaer
Bouckhout
Belvaux
BLANKENBERGHE
Boucle St Blaise
Belvaux or Beles
Blaregnies
Boude St Denis
Ben Ahin
Blaschette
Boudder
Bende
Blaton
Bouffioulx
Berbroeck
Blaugies
Bouge
Berbure
Blauwberg
Bougnies
Berchem (Andenarde)
Blegrey
Bougnimont
Berchem St Laurent
Bleharies
BOUILLON
Bercheux
Blehen
Boukendries
Berdorf
Bleid
Boukhout
Bereldange
Bleret
Boulaide
Berendrecht
Blicquy
Boulez
Berendrecht
Bloc-Ry
Bourcheid
Berg
Bocholt
Bourdon
Berg
Bockholz
Bourg-Leopold
Berg Den
Bocq, River Du
Bourgoniehoek
Bergern
Bodange
Bourgunster
Bergen *
Bodeghem St Martin
Bourlers
Bergeval
Boekel
Bourseigne-Vieille
Berg-op-Zoom
Boelhe
Bous
Bermgen
Boesinghe
Boussement River
Boussoit
Boussu
Boussu (Chimay)
Boussu (Beaumont)
Bousval
Boutonville
Bouverie, La
Bouvignies
Bouvignies
Bouwel
Bovekerke
Bovenistier
Bovesse
Bovigny
Boyenhoven
Bra
Bracht
Brachtenbach
Braflfe
Brages
Braibant
Braïne L’AlIeud
Braine-Le-Chateau
Brainette, La River
BRAIN-LE-COMTE
Branchou
Brandenbourg
Brans
Braroes
Bras
Bras Haut
Brasmeuil
Brasschaet
Brasschaet, Fort de
Bray
Brecht
Bree
Breedene
Breendonck
Breestraat
Breijssem
Breitweiler
Bret
Brielen
Brionsart
Briscol
Brocken
Broechem
Broechcm, Fort de
Broeseind
Brogel Grand
Brogel Petit
Brauch
Brouckom
Brucom
Brugelette
BRUGES
Bruggebeek River
Bruggewyke
Bruly de Pesche
Bruly, Le
Brume
Brusseghem
BRUSSELS
Brusthem
Bruvelle *
Bruyère, La
Bruyères, Les
Brye
Bue, Le
Buggenhoute
Buisscnal
Buisson
Buissonville
Bullange
Bullauge, Foret de
Bulles, Les
Bulscamp
Bunsbeek
Burange
Bürden
Bure
Burght
Burhaimont
Burkel
Bumeville
Bumon
Bury
Busch
Buschdorf
Buschrodt
Bussière, La
Butgenbach
Butsel
Buvingen
Buvrinnes
Buyssinghen
Buzenol
Buzet
Gachtem
Caele, River
Caeneghem
Caeskerke
Cacqbus
Caggevinne
Cala, Le River
Calcken
Callenelle
Calloo
Calmpthout
Calmus
Calonne
Cambron-Casteau
Cambron St Vincent
Camerloo
Campagne
Canach
Canal de Charleroi
Canal de Conde
Canne
Cantines
Capelle lez Herlaimont
Capellen
Cappelle au Bois
Cappellen (Antwerp)
Cappellen, Fort de (Antwerp)
Cappellen (Tirlemont)
Cappelle St Ulric
Capryeke
Carlsbourg
Camieres
Casteau
Castel
Caster
Casterle
Castilion
Castre
Catherine, Redbt
Caulille
Celie
Celles (Dinant)
Celles (Liège)
Celles (Renaix)
Cens
Censes Severin
Cerexhe
Cerfontaine
Ceroux-Mousty
Cessingen
Chabrehez
Chaineux
Chairière
CHALEROI
Chammont-Gistoux
Champagne
Champion
Champion
Champs
Champton-Famenne
Chandeville
Chanly
Chantemelle
Chapelle-à-Ole
Chapelle St Laurent
Chapois
Chapon-Seraing
Chareux
Chameux
Charneux
Chassepiere
Chastre
Chastres
Châtelet
Chatelineau
Châtillon
Chaumont
Chaussee, La (Charleroi)
Chaussee, ND
Chauveheid
Chayanne
Chêne
Chene-al-Pierre
Chenee
Chênet (Bastogne)
Cheneux
Chenogne
Cheous
Chercq
Chession
Chevetogue
Chevron
Chièvres (Ath)
CHIMAY
Chimay, Bois de
CHINY
Christnach
Cielle
Ciergnon
CINEY
Ciplet
Ciply
Cirreux
Clabecq
Clavier
Cleit
Clemency
Clemskerke
Clercken
Clerf, River
Clermont
Clermont
Clervaux or Clerf
Clinge, La
Clouse, La
Cluysen
Clytte, La
Cobbeghem
Cobru
Cockaifagne
Cognelée, Fort de
Cognellée
Collegiehoek
Colonie, La
Comblain au Pont
Comblain Fairon
Comblain, La Tour
Commanster
Commune
Compogne
Conde, Canal de
Conneux
Consdorf
Consthum
Content
CONTICH
Coo
Coolkerke (Bruges)
Coolscamp
Corbais
Corbeek Dyle
Corbeek Loo
Corbion
Corbion
Cordes
CoTenne
Comelle
Cornette La
Comimont
Corroy
Corroy le Grand
Corswaren
Cortemarek
Cortenaeken
Cortenberg
Cortenbosch
Cortessen
Corthys
Cortil Noirmont
Cosen
Cothem
Couckelaere
Couillet
Cour
Cour
COURCELLES
Courrière
Coursel
Courtil
COURTRAI
Couthuin
Coulisse
Court St-Eticnne
Couvent
Couvin
Coxyde
Coyghem
Cramillon Foys
Cramptinne
Cras Avemas
Crehen
Crenwick
Creppe
Crimbiemont
Crisnée
Croix
Crombach
Crombeke
Cruchten
Crupet
Crupet, River de
Cruyshautem
Cuerne
Cuesmes
Doorselaar ■
Cugnot
Dorinne
Cul des Sarts
Dormael
Culot au Bois
Dottignies
Cumptich
Dour
Curange
Dourbes
Curfox
Douve, River La
Custirme
Dranoutre
Guttecoven
Drehance • Dreye Dries Drieslinter
Daalgrimby
Driessen Heide
Daalwezeth
Drijhoeven
Dackman
Drongengoed Bosch
D’Acoz, River
Droogenbosch
Dadizeele
Dudelange
Dahl
Dudzeele
Dahlem
Düffel
Dailly
Duinbergen
Dalheim
Duinhoek
Dalhem
Du ras
Damme
DURBUY
Dampicourt
Dünnen
Darion
Durnal
Daussois
Dyle, River
Daussoulx
Duysbourg
Dave
Daverdisse
De Baan
Eben
De Donck
Eben Emael
Deebeek, River
Ebly
Deerlyck
Ecaussines
Deftinge
ECHTERNACH
De Haan (Le Coq)
Ecluse, L*
Deidenberg
Edeghem
Deigne
Edewalle
De Katte
Eecke
De Leeuw
Eeckeren
Dellen
Eecloo
Deiner, River
Eecloo Oost
Den Berg
Eede
Denderbelle
Eedemoler
Denderleeuw
Eeghem
Denderwindeke
Eename
Dendre, Canal
Eentveld
Dende
Eemeghem
Derenbach
EESSEN
Dergneau
Eggewaertscappelle
Desnie
Eghezee
Desschel
Ehlange
Desselghem
Ehlerange
Destelbergen
Eich
Desteldonck
Eikevliet
Deulin
Eikhoek
Deurle
Eindhoven
Deume (Antwerp)
Eischen
Deume (Diest)
Elenbom
Deuteighen
Elene
Devantave
Elinghen
Devante
Elixem
Deux Acren, Les
Deux-Rys
Eilange
Deynze
Elle
Dickebusch
Ellemelle
Dickele
Ellezelles
Dickelvenne
EUicum
Dickweiler
EHigmes Ste Anne
Dieghem
Elouges
DIEKIRK
Elsenbom Camp
Diepenbeek DIEST
Elses txaat
Eist
DifFerdange
Elvange (Arlon)
Dilsen DINANT
Elvange (Remich) Elverdinghe
Dion
Elversele
Dion-le-Mont
Emblehem
Dion le Vale
Emelghem
Dippach
Emines
DIXMUDE
Emmels
Dochamps
Emnes
Docq, Le Doel
Emptinne Engel
Doiceau
Engelmanshoven
Doische
ENGHIEN
Dolembreux
Engreux
Dommeldange
Engsbergs
Donceel
Enhet
Donck
Ennal
Donck, De
Enncille, Grande
Donck (Diest)
Enscherange
Doncols
Envoz
Dongeiberg
Epinois
Donk (Bruges)
EPPEGHEM
Donnange
Eppeldorf
Donstiennes
Eprave
Doomkerke
Erbaut
Doom
Erbisceul
Doomzele
Ereinbodegem
Erezie
Ermeton
Ermsdorf
Ernage
Erneuville
Emonheid
Ernster
Erpe
Erpeldange
Erpent
Erpigny
Erpion
Erquennes
Ersange
Ertbrand
Ertvelde
Erwetegem
Escaillere, L’
Escanaffles -
Escaut
Esch
Eschdorf
ESCH-sur-AIzette
Eschweiler
Eselbom
Esemael
Esneux
Espierres
Esplechin
Esquelmes
Esschen
Esschenbeek
Esschene
Estaimbourge
Estaimpuis
Estinne
Estinne au Mont
Estinne, River d’
Etalle
Ethe
Etichove
ETTELBRUGK
Ettelghem
Euclas, Bois de L’
Eugies
EUPEN
Eupen, Forêt de
Evegnee, Fort
Evelette
Eveque, Villers L’
Everbecq
Everberg
Evere
Evergetn
Everlange
Evifat
Evregnies
Evrehailles
Evrehailles
Exaerde
Exel
Eygenbilsen
Eykenen
Eynatten
Eyne
Eyntbout
Eysden
Eyseringhen
Ezaart
Fagne, La
Fagnolle
Failon
Faimes
Fairoul
Falaën
Falemprise
Falise, La
Fallais
Fall-et-Mheer
Falmagne
Falmignoul
Familleureux
Fanzel
Farciennes
Faubc
Faurœulx
Fauvillers
Faymonville
Fays (Giney)
Fays (Durby)
Fays-Famenne
Fays-les-Veneurs
Fays (Namur)
Fayt
Fayt-le-Franc
Fèchere
Felenne
Francheville
Gilsdorf
Fels or Larochelte
Franchimont
Gilseinde
Feluy
Franc Wäret
Gimnee
Fenffe
Frandeux
Ginderover
Fentange
Franiere
Gingelom
Ferage
Frasies
Gistoux
Ferooz
Frasnes
Gits
Ferneres
Frasnes, Les
Gives
Feschaux
Frasnes-Lèz-Buissenal
Gives
Feulen
Fratin
Givroulle
Fexhe Le Ht Clocher
Freeren
Givry
Fexhe-Lèz-Slins
Freloux
Givry (Houffalize)
Figotterie
Frenes
Glabais
Filly
Frenois
Glabbeek
Filot
Freres, Les
Glaireuse
Filsdorf
Fresin, Petit
Glanerie, La
Fingig
Freux
Gleixhe
Finnevaux
Freylange
Gleize, La
Fischbach
Freyneux
Glons
Fischbach
Frisange
Gochenée
Fisenne
Frisee
Godarville
Fize-Le-Marsal
Frisette, La
Godbrange
Flaches, Les
Froidchappelle
Godinne
Flamierge
Froidfontaine
Godverdegem
Flavion
Froidlieu
Goefferdinge
Flawinne
Froidmont
Goegnies-Chaussée
Flaxweiler
Froidthiir
Goesdorf
Flemalie
FromiÄe
Goesnes
FLENU
Fronville
Goesnes, River de
Fier
Froyennes
Goetzingen
Fleron
Furiboz
Gomery
Flerus
Fumaux
Gonderange
Flobecq
Fumes
Gond regnies
Floree
Gonrieux
Floreffe
Gontrod
FLORENNES
Goor
Florenville
Gaesbeck
Go rönne
Floriffoux
Gages
Gors-op-Leeuw
Florze
Galhaus
Gorssum
S/K'S
Flostoy
Gammel
GOSSELIES
Focant
Gammerages
Gossoncourt (St Trond)
Foisches
Gandrue
Gossoncourt (Tirlemont)
Fologne
Ganshoren
Gostingen
Folschette
Gapaard
Gothen
Folx-Les-Caves
Gamich
Gottechain
Fontaine Leveque
Gassenhoven
Gotthem
Fontaine-Valmont
Gaurain-Ramecroix
Gottignies
Fontenelle
Gavere
Gougnies
Fontenoille
Gedime
Gourd inne
Fontenoy
Gedinne
Goutroux
Fonteny
Geer
Gouy Lèz Piéton
Fontin
Geer, River
Goyck
Fooz
Geest Geronpont
Goyer
Forchies
Geet Betz
Gozee
Forchies La Marche
Gehucht
Grace Berieur
Forest (Brussels)
Geite
Graesen
Forest (Renaix)
Geite (St Joseph)
Graide
Forêt d’Anlier
Gelbresse
Gralingen
Forêt de Bullange
Gelieren
Grammene
Forêt de Luchy
Gelinden
GRAMMONT
Forêt de Meerdael
Gellick
Grand Bigard
Forêt de Warinsart
Gembes
Grand Brogel
Forêt D’Houthuilst
Gemeentebosch
Grandcourt
Forge du Prince
Gemmenich
Grand Halleux
Forge Philippe
Genappe
Grand Han
Forges
GENCK
Grand Leez
Forges, Les
Gendron
Grand Marais
Forrieres
Gcncbosch
Grandmenil
Forthem
Genes
Grand Reng
Fort St Marie
Genimont
Grandrieu
Fort St Phillippc
Genly
Grandrue
Forzee
Gennevaux
Grand Sarts
Fosse (Vielsalm)
Genoels-Elderen
Grandville
FOSSE (Charleroi)
Gentbrugge
Grandvoir
Fosse, River de
Genval
Grapfontaine
Fosses, Les
Gerdingen
Graty
Fosset
Gerheiden
Graux
Fouches
Gcrimont
Gravengansdijk
Fouhren
Gerin
Gravenwczel
Fouir
Gerouville
Gravenwczel, Fort
Fouleng
Gerpinnes
Greisch
Fourbechies
Gestel
Greivelaange
Fourchinée, La
Gestel (Gheel)
Grembergen
Fourinne
Gestel (Lierre)
Gremelange
Fourmatot
Gesves
Grendel
Fourneaux Philippe
Gette, River
Grevels
Fouron St Pierre
Gevacrts
Grevenknapp
Fourqueptre
Gewag
GREVENMACHER
Foy
GHEEL
Grez-Doiceau
Foy N Dame
Gheluvelt
Gribomont
Fracorchamps
Gheluwe
Griette
Frahan
GHENT
Grimbergen (Brussels)
Fraipont
Ghent Canal
Grimminge
Fraineux
Ghislenghien
Grivegnee
Fraire
Ghistelles
Grobbendonck
Fraiture (Ourthé)
Ghlin
GROENENDAAL
Fraiture (Viesalm)
Ghoy
Groetloo
Frameries
Gibecq
Groodestruybeek, River
Framont
Gilly
Groote-Heide
Groote Hostart
Harsin
Grootenberge
Harveng
Groot Rees
Harze
Grosage
Hassel
Grosbous
Hasselstraat
Gros-Fays
HASSELT
Growenboom
Hastiere-Lavaux
Groynne
Hatrival
Gruflange
Haulchin
Gruitrode
Haut Bois
Grumelscheid
Hautcroix
Grüne
Haute Folie
Grunenwald
Hautem St Eiéven
Grupont Guignies
Hautem-St-Marguerite
Hautes-Wiheries
Guillaume
Haut-Fays
Gulleghem
Haut-Ittre
Guygovcn
Haut-le-Wastia
Gysegem
Hautrage
Gyselbrechteghem
Havay
Gysenzeele
Havelange
Gyverinchave
Haversin Havinnes Havre Havrenne
Haaren
Hayon, Les
Haaszakhoek
Hazegras
Habay-La-Neuve
Hazemont
Habay-La-Vieille
Hazewind
Habergy
Hechtel
Habiémont
Hedenge
Hachiville
Hedomont
Hachy
Heed
Hacquegnies
Heelenbosch
Haekendover
Heembeck, Neder-Over-
Haelen
Heer
Haeltert
Heeren-Elderen
Haesdonck
Heers
HAGEN
Hees
Haid
Heesselt
Haies
Heestert
Haies, Lès
Heffen
Haillot
Hellingen
Haine, Bois d’
Heiblok
Haine St Paul
Heide
Hainin
Heide
Haisette
Heiderscheid
Halanzy
Heieinde
Hai, Bois de
Heikam
Halbosa
Heikant
Halewyn
Heikant
Hailaer
Heikant
Halle
Heilrimont
Halle-Boyenhoven
Heinerscheid
Hallembaye
Heinsch
HaUer
Heinstert
Hallet
Heisdorf
Halleux
Heispelt
Halleux, Grand
Heiste
Halma
Hekelgem
Halmaei
Hekke
Haltinne
Helchin
Hambeek
Helchteren
Hambourg
Heldergem
Hameau
Hellange
Hameau, Le (Charleroi)
Hellebecq
Hamerenne
Hemelverdegem
Hamiville
HEMIXEM
Hamme (Aeltre)
Hemptinne
Hamme (Brussels)
Hemptume
HAMME (Lokeren)
Hemroulle
Hamme Mille
Hems
Ham (Charleroi)
Hemstal
Hamoir
Hendrieken
Hamois
Hennureres
Hamont
Henripont (Brain-le-Comte)
Hampteau
Hensies
Hampteau
Henumont
Ham (Thuin)
Heppen
Handzaeme
Heppenbach
Haneffe
Hepscheid
Han, Grand
Herbais
Hannansart
Herbeumont
Hannut
Herbom
Han, Petit
Herchies
Hansbeke
Herch, River
Hanset
Herck La Ville
Han-sur-Lesse
Herck, River
Hanzinelle
Herderen
Harchies
Herdersem
Hargimont
Herek St Lambert
Haringhe
HERENTHALS
Harinsart
Herenthout
Harlange
Herffelinghen
Harlebeke
Hergenrath
Harlue
Herhet
Harmignies
Herinnes
Harnoncourt
Herinnes
Harre
Herisson
Hermalle
Hermee
Hermelgem
Hermeton
Hermeton, River
Hern St Hubert
Herock
Herquegies
Herresbach
Herseaux
Hersselt
Hersrai
Herstappe
Hertain
Herten
Hertogenwald, Forêt de
Hertsberghe
Herve
Herverlé, Bois d’
Herzele
Hesperange
Hestre
Het-Zoute
Heule
Heulendonck
Heure
Heure-Le-Rernam
Heur-Le-Tiexhe
Heume
Heurne St Pierre
Heusden
Heuseux
Heuvel, Hte
Heverle
Hevillers
Hex
Heyd
Heyndonck
Heysselt
Heyst
Heyst-op-den-Berg
Hez, Rz d’
Hierges
Hierlot
Hillare
Hille
Hinderhausen
Hingene
Hingeon
Hivange
Hives
HOBOKEN
Hobscheid
Hockai
Hodboment, Mont
Hodeige
Höchster
Hody
Hoegne
Hocleden
Hoeylaert
Hoffelt
Hofstade
Hofstade
Hognonl
Hogue
Hollain
Hollange
Hollebeek, River
Hollebeke
Hollenfels
Hollerich
Hollogne
Hollogne-sur-Geer
Holt
Holzem
Holzheim
Holzthum
Hombeek
Homme, River
Hompre
Hondelange
Hondzocht
Honnay
Honnelle, La Grande River
Honsfeld
Hoogevorst
Hoogkwortier
Hooglede
Hoogstade
Hoogstraeten
Hoorebeke St Corneille
Hoouthoek
Horion
Hornu
Horpmael
Horrues
Hoscheid
Hoscheiderdickt
Hosingen
Hostert
Hotte
Hotton
Houcke
Houdemont
Houdeng
Houdremont
Houffalize
Hougaerde
Houmart
Houmont
Houppertingen
Hour
Hoursinne, Grande
Housse
Houtaing
Houtain Le Val
Houtain L’Eveque
Houthaelen
Houthem
Houthem
Houthuilst, Forêt de
Houthulst
Houttave
Houtvenne
Houyet
Hove
Hoves
Howardries
Hoxem
Hoyoux, River
Hubermont
Hubinne
Huissignies
Huldange
Huldenberg
Hulleken
Hulsbeek
Hulsel
Hülsen (Gheel)
Hülsen (Hasselt)
Hülsen (Herenthals)
Hulshout
Hulst (Diest)
Hulst (Louvain)
v Hulste
Humain
Humbeek
Hundelgem
Hünningen
Hunsdon
Huppaye
Hupperdange
HUY
Huysse
Huyssinghen
Hyon
Ichteghem
Iddergem
Xdegem
Illbeek
Impde
Impe
Incourt
Ingeldorf
Ingelmunster
Ingoyghem
ISEGHEM
Isenberghe
Isenborn
Isieres
Isnes
Issche, L’, River
Iteghem
Ittaart
Itterbeck
Ittre
Itzig
Iveldingen
Izel
Izier
Jaar, River
Jabbeke
Jalhay
Jallet
Jamagne
Jamine, Grand
Jamine, Petit
Jamiolle
Jamioulx
JAMOIGNE
Jandrain-Jandrenouiile
Jandrenouille
Janeret
Jannie
Jauche
Jauchelette
javingue
Jehanheid
Jehinster
Jehonville
JEMAPPES
Jemelle
JEMEPPE (Namur)
Jemeppe (Rochefort)
Jeneffe
Jeneffe
Jenneville
Jesseren
Jevigne
Jevoumont
JODOIGNE
Jodoigne-Souveraine
Johoster
Jollain Merlin
Joubicval
Journal
Julimont
JUMET
Junction Canal de PEscaut
JUNGLINSTER
Jupille (Laroche)
jupille (Leige)
Juprelle
Jurbise (Mons)
Juseret
Justenville
Kahler
Kaiberg
Kailen
Kain
Kalbom
Kalt Het
Kattebeek
Kattenbosch
Kattewegel
Kaundorf
Kayl
Keerbergen
Keere
Kehlen
Kehmen
Keispelt
Kemexhe
Kemmel
Kemmelbeek, River
Kemseke
Kerckom
Kerkhem
Kerkhove
Kerkhoven
Kerkom
Kerkxken
Kermel
Kermpt
Kessel
Kessel
Kessel, Fort de
Kesselloo
Kessemel
Kettem
Keumiie
Keyem
Kieldrecht
Kieseghem
Kimroy
Kin
Kiningshoycht, Fort de
Klein
Klein Hoef
Kleinmacher
Klein Sinay
Klcynestuybeek, River
Knaphoscheid
KNESSELAERE
Knocke-sur-Mer
Koekhoven
Koerich
Koewacht
Kolis
Koningshoycht
Koninxheim
Konzen, Foret de
Koornbloem
Kopstal
Korteboeken
Kortekeer
Kortewilde
Kousseboom
Kouter
Krauthem
Krewinkel
Krinkel
Kruipuit
Kruisse
Kruisstraat (Ghent)
Kruisstraat (Selzaete)
Kruisweg
Kubom
Kwalaak
Laak
Laake Bosschen
Laar
La Baraque
Labliau
La Bouverie
La Bruyere
La Bussiere
La Campagne
La Clytte
La Colonie
La Comette
Lacuisine
Ladeuze
Laeffelt
Laeken
Laer
Laeme
Laerschebeek, River
Laethem St Martin La Falise La Foret La Fosse
La Frisette
La Glanerie
La Gleize
La Grande Honnelle
River
Lahage
Lahameide
Laherie
La Hestre
La Hulpe
Laiche
Laid-Prangeteux
La Livarde
LA LOUVIERE
Laloux
Lamadelaine
Lamain
Lambermont
Lambusart
La Misere
Lamormenil
Lamorteau
La Mouline
Lampemisse
Lanaeken
Landegem
Landelies
Landen
Landenne
Landscauter
Landscheid
Laneffe
Laneuville
Laneuville-au-Bois
Langdorp
Langeloo
Langemark
Langlir
Langsur
Lanklaer
Lannen
Lanquesaint
Lantin
Lantremange
La Panne
La Pierre
Lapscheure
La Reid
La Roche
LAROCHE
Larochette or Fels
Larum
La Sarte
Lashe, La River
Lasne St Lambert
Lathuy
Latinne
Latour
Lauwc
vit
Lavacheric
Lierde St Marie
Lavalette
Lierde St Martin
Lavaselle
Liemeux
Lavaux
Liemui
Lavaux St Anne
LIERRE
La Voer, River
Liera
Lavoir
Lieve, Canal de la
Leau
Liezele
Lebbeke
Liffinghe
Le Bue (Dînant)
Ligneuville
Le Chêne
Ligney
L’Ecluse
Ligtueres
Le Coq or De Haan
Ligny
Lede (Alost)
Lille •
Lede (Audenarde)
Lille St Hubert
Ledeberg
Lillo
Ledeghem
Lillors Witterzee
Ledighem
Lilo
Le Docq (Charleroi)
Limai
Leedc Riuss
LIMBOURG
Leefdael
Limelette
Leefdael
Limont
Leerbeek
Limont
Leeme
Limpach
Leerrie St Martin
Lince
Leers-et-Fosteau
Lincent
Leers Nord
Linckhout
Leest
Linde
Leeuw, De
Linde (Bassavelde)
Leeuw St Pierre
Linde (Ghent)
Leeuwergem
Lindei
Leghse
Linden
Leibeek, River
Linger
Leignon
Linkebeek
Leischoot
Linsmear
Leithum
Lintgen
Leke
Linth
Lellig
Lion of Waterloo
Lembecq
Lippeloo
Lembeke
Lipperscheid
Lem berge
Lipseinde
Lendelede
Lischert
Lennick St Martin
Lisogne
Lennick St Quentin
Lkp
Lenningen
Lisseweghe
Lens
Livarde, La
Lens St Remy
Lixbe
Lens-St-Servak
Lizeme
Lens-sur-Gcer
Lobbies
Leopold Derivation Canal
Locht
Lepe
Locre
Le Roux (Chaleroi)
Lodelinsart
Les Avins (Huy)
Loenhout
Les Bulles (Chtny)
Logbiermé
L’Escaillere
LOKEREN
Lescheret
Lombartzyde
Lesdain
Lombeek St Marie
Lesdain
Lombke
Les Deux Acren
Xarmmel
Les Flaches (Charleroi)
Lommersweiler
Les Forges (Venders)
Lompret
les Fosses (Ardennes)
Lomprez
Les Frasnes
Lomre
Les Freres (Oignies)
Lonchamps
Les Haies (Charleroi)
Loncin, Fort de
Les Hayon
Londerzeel
Les Ruelles
Longfaye
