ID,name,toponymName,adminName4,adminName2,adminName1,lat,lng,type
2803388,Achêne,Achêne,Ciney,Namur Province,Wallonia,50.26701,5.04539,Section/lieu-dit
2803387,Achenfosse,Achenfosse,Tubize,Walloon Brabant Province,Wallonia,50.7,4.18333,Section/lieu-dit
2803385,Achet,Achet,Hamois,Namur Province,Wallonia,50.33346,5.17516,Section/lieu-dit
2803384,A Chinecha,À Chinecha,Bastogne,Luxembourg Province,Wallonia,49.98333,5.81667,Section/lieu-dit
2803384,À Chinecha,À Chinecha,Bastogne,Luxembourg Province,Wallonia,49.98333,5.81667,Section/lieu-dit
2803387,Achonfosse,Achenfosse,Tubize,Walloon Brabant Province,Wallonia,50.7,4.18333,Section/lieu-dit
2803383,Achouffe,Achouffe,Houffalize,Luxembourg Province,Wallonia,50.14996,5.74473,Section/lieu-dit
2803382,Achtel,Achtel,Rijkevorsel,Antwerp Province,Flanders,51.37392,4.77013,Section/lieu-dit
2803380,Achtendries,Achtendries,Destelbergen,East Flanders Province,Flanders,51.06667,3.8,Section/lieu-dit
2803380,Achtendriesch,Achtendries,Destelbergen,East Flanders Province,Flanders,51.06667,3.8,Section/lieu-dit
2803379,Achterbist,Achterbist,Nijlen,Antwerp Province,Flanders,51.16645,4.65304,Section/lieu-dit
2803378,Achterbos,Achterbos,Mol,Antwerp Province,Flanders,51.20199,5.10169,Section/lieu-dit
2803378,Achterbosch,Achterbos,Mol,Antwerp Province,Flanders,51.20199,5.10169,Section/lieu-dit
2803377,Achterbroek,Achterbroek,Kalmthout,Antwerp Province,Flanders,51.3968,4.50027,Section/lieu-dit
2803374,Achter den Berg,Achter den Berg,Kortenberg,Flemish Brabant Province,Flanders,50.88333,4.55,Section/lieu-dit
2803374,Achter-Den-Bergh,Achter den Berg,Kortenberg,Flemish Brabant Province,Flanders,50.88333,4.55,Section/lieu-dit
2799608,Achter den Houw,Den Houw,Maaseik,Limburg Province,Flanders,51.05388,5.65543,Section/lieu-dit
2803373,Achter den Kraanberg,Achter den Kraanberg,Houthalen-Helchteren,Limburg Province,Flanders,51.06667,5.35,Section/lieu-dit
2803367,Achterheide,Achterheide-Asdonk,Tessenderlo,Limburg Province,Flanders,51.03333,5.03333,Section/lieu-dit
2803366,Achterheide-Asdonk,Achterheide-Asdonk,Tessenderlo,Limburg Province,Flanders,51.03333,5.03333,Section/lieu-dit
2796233,Achter het Heiderveld,Heiderveld,As,Limburg Province,Flanders,51.01667,5.56667,Section/lieu-dit
2803362,Achterhoek,Achterhoek,Berlaar,Antwerp Province,Flanders,51.12554,4.66614,Section/lieu-dit
2803361,Achterle,Achterlee,Kasterlee,Antwerp Province,Flanders,51.22649,4.87787,Section/lieu-dit
2803361,Achterlee,Achterlee,Kasterlee,Antwerp Province,Flanders,51.22649,4.87787,Section/lieu-dit
2803360,Achter Olen,Achter Olen,Olen,Antwerp Province,Flanders,51.16818,4.90309,Section/lieu-dit
2803360,Achter-Oolen,Achter Olen,Olen,Antwerp Province,Flanders,51.16818,4.90309,Section/lieu-dit
2803359,Achterrot,Achterrot,Borsbeek,Antwerp Province,Flanders,51.18635,4.4952,Section/lieu-dit
2803358,Achterste Hostie,Achterste Hostie,Bocholt,Limburg Province,Flanders,51.20491,5.49965,Section/lieu-dit
2803358,Achtersten-Hostie,Achterste Hostie,Bocholt,Limburg Province,Flanders,51.20491,5.49965,Section/lieu-dit
2803357,Achter Weert,Achter Weert,Bornem,Antwerp Province,Flanders,51.09779,4.18049,Section/lieu-dit
2803356,A Clapette,À Clapette,Gembloux,Namur Province,Wallonia,50.52682,4.75449,Section/lieu-dit
2803356,À Clapette,À Clapette,Gembloux,Namur Province,Wallonia,50.52682,4.75449,Section/lieu-dit
2803354,Acosse,Acosse,Wasseiges,Liège Province,Wallonia,50.59305,5.04684,Section/lieu-dit
2803352,Acoz,Acoz,Gerpinnes,Hainaut Province,Wallonia,50.35904,4.53263,Section/lieu-dit
2803350,Acremont,Acremont,Bertrix,Luxembourg Province,Wallonia,49.89878,5.20897,Section/lieu-dit
2803347,Adegem,Adegem,Maldegem,East Flanders Province,Flanders,51.20509,3.4954,Section/lieu-dit
2803346,Adesberg,Adesberg,Amblève,Liège Province,Wallonia,50.34639,6.17056,Section/lieu-dit
